日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
108/01/02,"11,621,170","660,446,839",57.70,57.70,56.50,56.50,-1.80,"4,994"
108/01/03,"14,270,437","790,941,595",54.80,56.60,54.00,56.00,-0.50,"5,171"
108/01/04,"6,542,754","360,335,804",55.00,55.50,54.60,55.20,-0.80,"3,015"
108/01/07,"8,979,815","496,166,346",55.70,55.70,55.00,55.00,-0.20,"4,332"
108/01/08,"3,775,871","208,624,061",55.40,55.50,55.10,55.20,+0.20,"2,314"
108/01/09,"8,833,251","496,045,514",55.50,56.60,55.30,56.30,+1.10,"4,253"
108/01/10,"3,647,816","207,147,312",56.50,57.00,56.30,57.00,+0.70,"1,886"
108/01/11,"5,031,521","288,697,448",57.20,57.70,56.80,57.60,+0.60,"2,455"
108/01/14,"3,483,333","200,018,733",57.80,58.20,57.00,57.30,-0.30,"1,690"
108/01/15,"7,951,325","463,008,261",57.40,58.60,57.30,58.60,+1.30,"3,661"
108/01/16,"5,289,744","309,957,631",58.60,59.00,58.10,58.60, 0.00,"2,904"
108/01/17,"4,185,744","243,918,552",58.70,59.10,57.60,58.10,-0.50,"2,227"
108/01/18,"4,046,007","237,569,398",58.80,59.00,58.40,58.80,+0.70,"2,009"
108/01/21,"4,121,143","244,482,579",59.30,60.00,58.80,58.80, 0.00,"2,152"
108/01/22,"4,758,407","279,161,525",58.50,59.00,58.20,58.50,-0.30,"1,408"
108/01/23,"2,861,067","167,092,841",58.40,58.90,58.00,58.30,-0.20,"1,585"
108/01/24,"2,080,699","121,891,778",58.60,58.80,58.30,58.70,+0.40,"1,272"
108/01/25,"9,302,191","560,494,976",59.80,60.60,59.40,60.50,+1.80,"4,265"
108/01/28,"2,286,889","138,102,204",60.50,60.80,60.10,60.50, 0.00,"1,349"
108/01/29,"4,743,095","282,571,771",60.20,60.20,59.00,59.90,-0.60,"2,362"
108/01/30,"6,035,231","361,484,954",60.10,60.40,59.20,60.00,+0.10,"2,339"
108/02/11,"7,591,657","449,406,765",60.10,60.30,58.50,58.80,-1.20,"4,280"
108/02/12,"4,034,739","240,537,640",58.50,60.50,58.40,60.30,+1.50,"2,635"
108/02/13,"4,747,235","283,163,266",60.20,60.40,59.00,59.60,-0.70,"3,067"
108/02/14,"4,753,969","280,191,535",58.60,59.30,58.60,58.80,-0.80,"2,686"
108/02/15,"2,785,198","164,116,019",58.50,59.50,58.50,58.90,+0.10,"1,728"
108/02/18,"3,706,944","218,831,483",59.40,59.70,58.60,58.60,-0.30,"2,419"
108/02/19,"2,062,938","121,165,837",58.70,59.10,58.60,58.60, 0.00,"1,211"
108/02/20,"6,873,623","411,531,633",59.10,60.50,59.00,60.40,+1.80,"3,868"
108/02/21,"4,264,777","254,703,536",60.40,60.40,59.40,59.90,-0.50,"2,145"
108/02/22,"3,849,000","230,345,179",59.70,60.10,59.50,59.80,-0.10,"1,993"
108/02/25,"7,047,763","432,809,124",60.10,62.30,60.00,62.00,+2.20,"3,572"
108/02/26,"17,048,933","1,099,858,259",62.00,65.30,61.90,64.50,+2.50,"7,718"
108/02/27,"16,706,676","1,056,453,671",65.00,65.10,62.50,62.90,-1.60,"6,717"
108/03/04,"12,309,135","774,697,976",62.10,64.50,61.80,63.80,+0.90,"5,060"
108/03/05,"8,251,344","523,301,274",63.00,63.80,62.80,63.50,-0.30,"3,537"
108/03/06,"8,562,383","550,347,414",64.50,65.40,63.40,64.00,+0.50,"3,896"
108/03/07,"6,097,643","388,805,609",64.40,64.70,63.00,63.10,-0.90,"3,467"
108/03/08,"8,877,195","563,372,808",63.30,64.40,62.30,63.50,+0.40,"4,418"
108/03/11,"8,768,609","549,011,566",63.00,63.20,62.20,62.20,-1.30,"3,466"
108/03/12,"7,275,256","458,163,494",62.90,63.40,62.60,62.90,+0.70,"2,130"
108/03/13,"5,744,379","360,312,030",62.50,63.20,62.30,63.00,+0.10,"2,634"
108/03/14,"6,690,545","420,474,453",62.70,63.20,62.60,63.00, 0.00,"1,745"
108/03/15,"13,498,557","841,721,414",63.00,63.30,62.10,62.10,-0.90,"2,525"
108/03/18,"9,182,262","573,998,947",62.30,62.90,61.80,62.70,+0.60,"3,033"
108/03/19,"9,656,984","605,139,976",62.80,63.10,62.20,62.60,-0.10,"2,883"
108/03/20,"12,968,052","818,968,476",62.90,63.80,62.60,63.00,+0.40,"5,262"
108/03/21,"7,464,672","473,048,457",63.50,63.90,62.90,63.70,+0.70,"3,420"
108/03/22,"19,681,862","1,290,784,983",64.40,66.30,64.00,65.90,+2.20,"8,450"
108/03/25,"6,117,577","396,504,505",64.80,65.20,64.20,65.00,-0.90,"2,961"
108/03/26,"15,544,023","1,040,659,716",65.50,68.20,65.20,67.50,+2.50,"7,254"
108/03/27,"20,554,759","1,417,555,534",68.00,69.70,67.80,68.40,+0.90,"10,190"
108/03/28,"6,248,973","424,035,853",68.20,68.50,67.30,67.70,-0.70,"2,921"
108/03/29,"10,339,498","695,868,142",68.20,68.20,66.60,67.50,-0.20,"4,086"
108/04/01,"15,028,710","1,032,408,643",68.00,69.50,67.60,68.70,+1.20,"6,583"
108/04/02,"27,083,245","1,908,578,028",71.00,71.90,69.20,70.60,+1.90,"11,467"
108/04/03,"12,154,708","860,992,609",71.20,71.50,70.20,70.80,+0.20,"5,822"
108/04/08,"8,944,204","634,466,459",71.60,71.60,70.20,70.60,-0.20,"5,147"
108/04/09,"6,490,110","459,172,846",70.70,71.30,70.20,70.80,+0.20,"3,619"
108/04/10,"7,086,961","505,743,355",70.90,71.80,70.60,71.80,+1.00,"3,728"
108/04/11,"5,081,437","362,899,807",71.60,71.80,70.70,71.40,-0.40,"2,794"
108/04/12,"8,746,770","614,045,391",70.60,70.90,69.70,69.70,-1.70,"4,675"
108/04/15,"5,008,835","353,984,436",70.30,71.00,69.80,71.00,+1.30,"2,730"
108/04/16,"4,689,182","331,549,997",70.30,71.30,70.00,71.00, 0.00,"2,773"
108/04/17,"29,499,991","2,214,448,533",71.60,77.20,71.60,75.20,+4.20,"12,955"
108/04/18,"21,088,288","1,584,553,589",75.00,76.40,73.40,74.10,-1.10,"7,563"
108/04/19,"12,760,268","950,425,500",73.80,75.50,73.20,75.50,+1.40,"5,155"
108/04/22,"7,749,558","583,945,846",75.50,75.70,74.60,75.00,-0.50,"4,491"
108/04/23,"7,121,812","530,323,288",74.80,75.00,73.60,74.30,-0.70,"3,475"
108/04/24,"20,188,469","1,476,227,397",74.30,74.40,72.60,73.10,-1.20,"6,844"
108/04/25,"10,671,571","788,843,062",71.70,74.70,71.70,73.60,+0.50,"5,579"
108/04/26,"7,675,232","562,317,943",73.00,74.00,72.50,73.10,-0.50,"4,041"
108/04/29,"13,315,307","956,880,333",72.50,73.00,71.20,71.60,-1.50,"5,469"
108/04/30,"9,621,768","691,702,391",71.60,72.30,71.20,71.70,+0.10,"4,224"
108/05/02,"11,465,827","817,846,218",70.70,72.50,70.70,70.70,-1.00,"4,570"
108/05/03,"10,893,860","782,987,020",70.50,72.30,70.20,72.00,+1.30,"4,303"
108/05/06,"8,169,734","576,090,442",70.70,71.70,69.50,71.40,-0.60,"4,128"
108/05/07,"5,640,001","401,382,647",71.00,71.60,70.70,71.00,-0.40,"2,767"
108/05/08,"8,485,344","594,948,480",69.50,70.60,69.20,70.00,-1.00,"4,440"
108/05/09,"9,310,091","646,117,697",69.20,70.10,68.80,69.40,-0.60,"4,026"
108/05/10,"5,809,758","404,201,016",69.50,70.30,68.80,68.80,-0.60,"3,092"
108/05/13,"3,515,063","240,330,384",68.60,69.40,67.90,68.00,-0.80,"1,715"
108/05/14,"9,534,115","638,039,303",66.80,67.70,66.00,66.80,-1.20,"4,083"
108/05/15,"6,389,866","434,488,288",66.50,68.60,66.50,68.00,+1.20,"3,673"
108/05/16,"8,258,516","567,419,480",67.50,69.60,67.00,68.50,+0.50,"4,179"
108/05/17,"9,806,836","653,520,776",68.40,68.80,65.60,65.60,-2.90,"4,806"
108/05/20,"8,651,497","561,359,846",65.60,65.60,64.40,64.50,-1.10,"4,444"
108/05/21,"16,820,130","1,048,815,090",64.50,64.50,61.50,62.60,-1.90,"8,732"
108/05/22,"7,366,802","465,634,626",62.70,63.70,62.50,62.90,+0.30,"3,294"
108/05/23,"20,120,431","1,190,891,040",61.80,61.90,58.30,58.30,-4.60,"8,969"
108/05/24,"10,160,249","596,756,841",58.30,59.10,58.30,58.60,+0.30,"3,969"
108/05/27,"6,440,757","376,962,763",58.60,58.70,58.20,58.70,+0.10,"2,630"
108/05/28,"21,892,271","1,281,607,134",58.80,59.20,58.40,58.40,-0.30,"3,775"
108/05/29,"7,888,895","459,140,913",58.00,58.60,57.60,58.40, 0.00,"3,434"
108/05/30,"7,754,963","456,324,117",58.40,59.20,58.40,58.60,+0.20,"3,765"
108/05/31,"17,213,061","1,030,237,260",58.40,60.50,58.40,59.80,+1.20,"5,935"
108/06/03,"10,809,985","646,320,900",59.10,60.50,58.60,60.00,+0.20,"4,368"
108/06/04,"8,730,653","517,920,473",59.80,60.00,58.80,59.00,-1.00,"3,833"
108/06/05,"6,478,019","388,113,140",59.70,60.20,59.50,60.00,+1.00,"2,835"
108/06/06,"5,427,682","320,478,691",59.70,59.70,58.60,58.70,-1.30,"2,715"
108/06/10,"5,270,282","315,192,957",59.50,60.10,59.10,59.90,+1.20,"2,346"
108/06/11,"6,988,026","421,290,054",60.00,60.80,59.50,60.50,+0.60,"3,634"
108/06/12,"5,392,824","325,824,839",60.30,60.80,59.60,60.50, 0.00,"2,947"
108/06/13,"5,189,461","313,417,918",60.00,60.80,60.00,60.60,+0.10,"2,080"
108/06/14,"8,877,250","533,126,552",60.10,60.30,59.90,60.00,-0.60,"3,729"
108/06/17,"7,275,826","429,244,925",59.20,59.90,58.40,58.40,-1.60,"3,805"
108/06/18,"6,920,406","405,900,610",58.40,58.90,58.40,58.40, 0.00,"3,040"
108/06/19,"18,824,990","1,153,722,740",59.40,62.50,59.10,62.30,+3.90,"8,722"
108/06/20,"9,200,784","576,084,705",62.00,63.30,61.60,62.50,+0.20,"5,513"
108/06/21,"8,702,845","550,300,635",62.80,63.70,62.70,63.20,+0.70,"3,552"
108/06/24,"8,340,391","523,900,133",62.50,63.30,61.70,63.00,-0.20,"3,978"
108/06/25,"9,411,373","580,643,137",62.00,62.50,61.00,61.30,-1.70,"4,036"
108/06/26,"6,452,955","392,711,348",60.60,61.80,60.30,60.50,-0.80,"2,914"
108/06/27,"9,713,161","609,457,375",61.20,63.30,61.10,62.80,+2.30,"4,281"
108/06/28,"6,076,704","377,280,725",62.50,62.70,61.50,61.50,-1.30,"2,660"
108/07/01,"15,340,017","1,015,475,091",64.00,67.50,64.00,66.10,+4.60,"7,389"
108/07/02,"11,481,577","751,706,852",66.00,66.50,64.60,64.60,-1.50,"5,068"
108/07/03,"8,922,250","572,296,110",64.40,65.10,63.80,64.40,-0.20,"3,733"
108/07/04,"12,255,329","808,182,059",65.60,67.60,65.00,65.30,+0.90,"5,547"
108/07/05,"9,852,635","650,513,319",66.20,67.30,65.30,66.20,+0.90,"4,920"
108/07/08,"6,956,194","450,347,909",65.30,65.80,64.20,64.50,-1.70,"3,877"
108/07/09,"5,195,076","334,796,255",65.20,65.30,64.00,64.10,-0.40,"2,708"
108/07/10,"9,186,866","605,149,551",64.60,66.50,64.40,66.10,+2.00,"4,824"
108/07/11,"18,592,306","1,267,253,611",66.60,69.40,66.50,68.40,+2.30,"8,249"
108/07/12,"4,519,887","306,375,754",67.60,68.40,67.30,67.50,-0.90,"2,749"
108/07/15,"11,127,694","764,925,895",68.30,69.40,67.50,69.10,+1.60,"5,302"
108/07/16,"10,783,351","747,789,428",69.30,70.10,68.70,69.10, 0.00,"4,249"
108/07/17,"12,019,953","813,670,318",68.20,68.70,67.00,67.50,-1.60,"5,538"
108/07/18,"5,998,252","406,139,715",67.00,68.20,67.00,67.60,+0.10,"3,530"
108/07/19,"16,372,876","1,148,935,420",69.00,70.90,69.00,70.40,+2.80,"7,668"
108/07/22,"7,887,635","555,600,216",70.50,70.70,70.00,70.50,+0.10,"3,422"
108/07/23,"8,011,331","570,971,512",70.60,71.90,70.60,71.00,+0.50,"3,747"
108/07/24,"6,887,637","489,539,100",71.00,71.50,70.40,70.90,-0.10,"3,868"
108/07/25,"4,949,062","350,081,060",71.00,71.10,70.00,71.00,+0.10,"2,714"
108/07/26,"7,340,084","510,402,522",70.20,70.30,69.10,69.60,-1.40,"3,778"
108/07/29,"5,679,015","396,030,129",69.00,70.30,69.00,69.90,+0.30,"2,640"
108/07/30,"5,541,178","387,149,141",70.00,70.80,69.30,69.70,-0.20,"2,593"
108/07/31,"8,870,311","619,739,491",69.20,70.60,68.80,69.90,+0.20,"3,636"
108/08/01,"9,746,021","680,148,336",69.00,70.80,68.90,69.40,-0.50,"4,790"
108/08/02,"16,208,884","1,108,940,903",68.90,70.00,67.00,68.80,-0.60,"8,165"
